concatParams;mean;std
10_100_False_None_adadelta_mse_50_1_tanh_linear__100000_1_True_False_True_35_None_None_None_uniform;15.693782;1270.143109
10_100_False_None_adadelta_mse_50_1_tanh_linear__100000_1_True_False_True_40_None_None_None_uniform;25.551887;1282.882724
10_100_False_None_adadelta_mse_50_1_tanh_linear__100000_1_True_False_True_45_None_None_None_uniform;25.825258;1301.008498
10_100_False_None_adadelta_mse_50_1_tanh_linear__100000_1_True_False_True_50_None_None_None_uniform;23.509900;1316.738800
10_170_True_0.3_adadelta_mse_150_10_tanh_linear__100000_1_True_False_True_1_None_None_None_uniform;-28.819466;1832.617049
10_170_True_0.3_adadelta_mse_150_10_tanh_linear__100000_1_True_False_True_2_None_None_None_uniform;-6.050871;1522.840836
10_170_True_0.3_adadelta_mse_150_10_tanh_linear__100000_1_True_False_True_3_None_None_None_uniform;2.991692;1453.675788
10_170_True_0.3_adadelta_mse_150_10_tanh_linear__100000_1_True_False_True_4_None_None_None_uniform;-36.292231;1383.857599
10_170_True_0.3_adadelta_mse_150_10_tanh_linear__100000_1_True_False_True_5_None_None_None_uniform;-26.222958;1375.137407
10_170_True_0.3_adadelta_mse_150_10_tanh_linear__100000_1_True_False_True_6_None_None_None_uniform;-19.836539;1358.523569
10_170_True_0.3_adadelta_mse_150_10_tanh_linear__100000_1_True_False_True_7_None_None_None_uniform;2.725419;1350.030391
10_170_True_0.3_adadelta_mse_150_10_tanh_linear__100000_1_True_False_True_8_None_None_None_uniform;15.146604;1321.237142
10_170_True_0.3_adadelta_mse_150_10_tanh_linear__100000_1_True_False_True_9_None_None_None_uniform;16.545274;1317.896950
10_170_True_0.3_adadelta_mse_150_10_tanh_linear__100000_1_True_False_True_10_None_None_None_uniform;15.505349;1308.440961
10_170_True_0.3_adadelta_mse_150_10_tanh_linear__100000_1_True_False_True_15_None_None_None_uniform;23.322548;1290.865783
10_170_True_0.3_adadelta_mse_150_10_tanh_linear__100000_1_True_False_True_20_None_None_None_uniform;34.025381;1275.477826
10_170_True_0.3_adadelta_mse_150_10_tanh_linear__100000_1_True_False_True_25_None_None_None_uniform;30.656302;1279.592956
10_170_True_0.3_adadelta_mse_150_10_tanh_linear__100000_1_True_False_True_30_None_None_None_uniform;29.220937;1278.434614
10_170_True_0.3_adadelta_mse_150_10_tanh_linear__100000_1_True_False_True_35_None_None_None_uniform;29.056450;1293.125202
10_170_True_0.3_adadelta_mse_150_10_tanh_linear__100000_1_True_False_True_40_None_None_None_uniform;35.166948;1299.262686
10_170_True_0.3_adadelta_mse_150_10_tanh_linear__100000_1_True_False_True_45_None_None_None_uniform;35.797437;1297.380634
10_170_True_0.3_adadelta_mse_150_10_tanh_linear__100000_1_True_False_True_50_None_None_None_uniform;36.254852;1302.732284
10_170_True_0.3_adadelta_mse_150_1_tanh_linear__100000_1_True_False_True_1_None_None_None_uniform;-24.975294;1878.250808
10_170_True_0.3_adadelta_mse_150_1_tanh_linear__100000_1_True_False_True_2_None_None_None_uniform;13.761250;1576.730321
10_170_True_0.3_adadelta_mse_150_1_tanh_linear__100000_1_True_False_True_3_None_None_None_uniform;28.741448;1455.897856
10_170_True_0.3_adadelta_mse_150_1_tanh_linear__100000_1_True_False_True_4_None_None_None_uniform;16.528598;1427.625379
10_170_True_0.3_adadelta_mse_150_1_tanh_linear__100000_1_True_False_True_5_None_None_None_uniform;3.643699;1382.733339
10_170_True_0.3_adadelta_mse_150_1_tanh_linear__100000_1_True_False_True_6_None_None_None_uniform;8.588556;1374.514465
10_170_True_0.3_adadelta_mse_150_1_tanh_linear__100000_1_True_False_True_7_None_None_None_uniform;12.070001;1339.629504
10_170_True_0.3_adadelta_mse_150_1_tanh_linear__100000_1_True_False_True_8_None_None_None_uniform;8.406199;1335.490434
10_170_True_0.3_adadelta_mse_150_1_tanh_linear__100000_1_True_False_True_9_None_None_None_uniform;17.049537;1337.909890
10_170_True_0.3_adadelta_mse_150_1_tanh_linear__100000_1_True_False_True_10_None_None_None_uniform;16.988408;1318.002989
10_170_True_0.3_adadelta_mse_150_1_tanh_linear__100000_1_True_False_True_15_None_None_None_uniform;24.802862;1294.683056
10_170_True_0.3_adadelta_mse_150_1_tanh_linear__100000_1_True_False_True_20_None_None_None_uniform;16.948885;1296.844123
10_170_True_0.3_adadelta_mse_150_1_tanh_linear__100000_1_True_False_True_25_None_None_None_uniform;19.936196;1301.294829
10_170_True_0.3_adadelta_mse_150_1_tanh_linear__100000_1_True_False_True_30_None_None_None_uniform;17.295967;1319.081316
10_170_True_0.3_adadelta_mse_150_1_tanh_linear__100000_1_True_False_True_35_None_None_None_uniform;23.964422;1316.922677
10_170_True_0.3_adadelta_mse_150_1_tanh_linear__100000_1_True_False_True_40_None_None_None_uniform;22.409168;1318.746373
10_170_True_0.3_adadelta_mse_150_1_tanh_linear__100000_1_True_False_True_45_None_None_None_uniform;23.481441;1321.895473
10_170_True_0.3_adadelta_mse_150_1_tanh_linear__100000_1_True_False_True_50_None_None_None_uniform;26.066748;1324.365105
10_170_True_0.3_adadelta_mse_300_10_tanh_linear__100000_1_True_False_True_1_None_None_None_uniform;-52.279579;1814.862459
10_170_True_0.3_adadelta_mse_300_10_tanh_linear__100000_1_True_False_True_2_None_None_None_uniform;-33.858935;1597.056057
10_170_True_0.3_adadelta_mse_300_10_tanh_linear__100000_1_True_False_True_3_None_None_None_uniform;-11.262046;1429.197339
10_170_True_0.3_adadelta_mse_300_10_tanh_linear__100000_1_True_False_True_4_None_None_None_uniform;9.669187;1394.158288
10_170_True_0.3_adadelta_mse_300_10_tanh_linear__100000_1_True_False_True_5_None_None_None_uniform;4.654251;1358.372978
10_170_True_0.3_adadelta_mse_300_10_tanh_linear__100000_1_True_False_True_6_None_None_None_uniform;11.270563;1364.518201
10_170_True_0.3_adadelta_mse_300_10_tanh_linear__100000_1_True_False_True_7_None_None_None_uniform;18.496611;1330.931930
10_170_True_0.3_adadelta_mse_300_10_tanh_linear__100000_1_True_False_True_8_None_None_None_uniform;13.398778;1321.714926
10_170_True_0.3_adadelta_mse_300_10_tanh_linear__100000_1_True_False_True_9_None_None_None_uniform;9.577450;1326.128741
10_170_True_0.3_adadelta_mse_300_10_tanh_linear__100000_1_True_False_True_10_None_None_None_uniform;16.199637;1308.386158
10_170_True_0.3_adadelta_mse_300_10_tanh_linear__100000_1_True_False_True_15_None_None_None_uniform;20.048838;1276.399783
10_170_True_0.3_adadelta_mse_300_10_tanh_linear__100000_1_True_False_True_20_None_None_None_uniform;17.591166;1263.868210
10_170_True_0.3_adadelta_mse_300_10_tanh_linear__100000_1_True_False_True_25_None_None_None_uniform;22.888698;1271.647207
10_170_True_0.3_adadelta_mse_300_10_tanh_linear__100000_1_True_False_True_30_None_None_None_uniform;20.059157;1285.139906
10_170_True_0.3_adadelta_mse_300_10_tanh_linear__100000_1_True_False_True_35_None_None_None_uniform;22.445935;1293.593539
10_170_True_0.3_adadelta_mse_300_10_tanh_linear__100000_1_True_False_True_40_None_None_None_uniform;17.858451;1299.787438
10_170_True_0.3_adadelta_mse_300_10_tanh_linear__100000_1_True_False_True_45_None_None_None_uniform;14.065867;1306.937954
10_170_True_0.3_adadelta_mse_300_10_tanh_linear__100000_1_True_False_True_50_None_None_None_uniform;19.317850;1307.020182
10_170_True_0.3_adadelta_mse_300_1_tanh_linear__100000_1_True_False_True_1_None_None_None_uniform;-14.227594;1832.446782
10_170_True_0.3_adadelta_mse_300_1_tanh_linear__100000_1_True_False_True_2_None_None_None_uniform;-5.604291;1556.079429
